generation,generation_size,participant_id,read_multiple_versions,replication,response
0,3,20,0,0,"Back then, people didn't die from cancer or heart disease, they didn't live long enough to experience these problems as they were killed by animals, died in the war, or were killed in factory jobs. When antibiotics came into the picture, this led to saving millions of lives, especially for the allied forces in WWII. This penicillin is even used today. But now people have begun to die again because of resistance to antibiotics. This includes MRSA and many other strains of bacterium. The weaker organism dies off, but the survivors come back even stronger than before leading to a back and forth between the two until we reach our inevitable outcome in a post-antibiotic world. Even pharmaceuticals companies want no stake in this losing war."
0,3,23,0,3,"People in the past died of different things. Most of the time they died from injury and infection. In the early 1900s this changed dramatically with the invention of new medicines and techniques. But now theres antibiotic resistant bacteria, which is really dangerous. Lots more people could die in the future if we don't figure it out. We should probably stop overusing antibiotics."
0,3,24,0,1,"Through history people died for lots of reasons, but then Alexander Fleming discovered penicillin, which helped fight bacterial infections. The problem is now bacteria are evolving to beat antibiotics and people are dying from less treatable infections. You can take small steps, the way one does for the environment by using a fluorescent light bulb, to fight the rise of the superbugs by not using antibiotics when unnecessary."
0,3,22,0,1,"The discovery of penicillin by Alexander Flemming changed the world and the way we treat infections. Penicillin is still used today as an antibiotic and prompted the development of hundreds more. Flemming's discovery aided in World War II, reducing Allied deaths by 10-15%. Antibiotics have also allowed people to live far longer than in the past. People used to die from injury, or infection, but due to this prolonged longevity, we are now dying from lifestyle diseases like heart disease.

The current number of worldwide deaths due to infection is around 700,000 and is actually anticipated to only rise. By 2050, the estimated toll will be around 10 million. Why? Antibiotic resistance or the rise in ""superbugs"" renders current antibiotics useless and allows bacteria to thrive. The use of antibiotics is like a game of leapfrog; as we develop new antibiotics, the bacteria become resistant, so we develop new drugs, and so on. These bacteria will only continue to develop resistance against antibiotics if we continue to overuse antibiotics. We need to cut back on our use of antibiotics for every little ailment, or soon this problem will be out of control."
0,3,25,0,0,"Throughout most of human history, people did not typically die from heart disease or cancers. The died young from gun shot wounds, factory accidents, falling off a horse, or (most of the time) from infections, as a result of those injuries. 

Death by infection forever changed in the 1920's when antibiotics were discovered. Millions of lives have been saved in the decades since and people are living longer lives. But antibiotic resistance is gaining considerable ground and we are becoming more at risk of death by bacteria. ""Superbugs"" have been getting worse and killing many people. The problem is expected to worsen. Currently in the U.S. and Europe, about 50,000 people die a year from infections that cannot be treated. That number is expected to rise to 10 million a year by 2050, unless we can do something to stop it.

Tiny steps can be taken now to help stave off disaster later, like not taking unnecessary antibiotics or not consuming meats raised on antibiotics. "
1,3,29,0,4,"Antibiotics were a miracle that revolutionized the treatment of different infections.  Their use has saved countless millions of lives in the last 100 or so years.  However, we've overused antibiotics, and now many bacteria have evolved or adapted to be resistant to their use.  We're creating new super antibiotics, but we also need to drastically cut the use of older antibiotics.  "
1,3,27,0,1,"Death from injury and infections is much less than it was before Alexander Fleming discovered penecillian. Today 700,000 people die every year from infection. But experets predict that by the year 2050 10,000,000 people every year will die from infection. This is because bateria continually develop resistance to antibiotics. Overuse of antibiotics causes this. The best thing people can do to help is not use antibiotics unless it is neccessary."
1,3,30,0,3,In the past people died of infections and injuries that let to infections. In the early 1900s with the discovery of antiboitics the rate of death from infection went significantly down. Unfortunately the overuse of antibiotics has lead to bacteria become more and more resistant to them. Unless we find a way to fix this it could mean up to 10 million deaths in 2050 because of what mainly is overuse of antibiotics causing these resistant strains of bacteria.
1,3,31,0,2,"Throughout history most people did not die from the common diseases seen today such as heart disease and cancer. many did not live long enough to develop these illnesses because they died in war, in accidents, or from more common infections. Once we discovered penicillin and other antibiotics, less people died from these infections. However, the more we use antibiotics, the more antibiotic resistant diseases show up. Scientists estimate that these diseases could cause up to 10 million annual deaths by 2050 if we do not do something about it soon. "
1,3,33,0,4,"Antibiotics have saved countless lives throughout the years since there invention, however, they are begining to be less effective due to over use and over perscribing them for small infections that the body can most of the time take care of on their own. If something isn't done to change this millions will start to die every year due to antibiotic resistant infections."
1,3,37,0,1,antibodies have in the past reduced deaths related to infections. Now diseases have become resistant to the antibodies and deaths are on the rise due to these new superbugs becoming more and more resistant to the antibodies. fluorescent light treatment is one way of combating disease resistant antibodies
1,3,34,0,0,"The gist of all three stories presented was about antibiotics and how since the invention of the penicillan vaccine it has saved many lives. Yet, because of over use of antibiotics there are ""superbugs"" making infections resistant to antibiotics due to over use. All three stories changed in what year or decade they used as evidence for when the antibiotic was introduced. The first story said it was invented around WWI and used to save countless soldiers, the next said it was the 1920s, and another said it was WWII era. Overall, it was noted that by 2050 there is a possibility of ten million people who could die if antibiotics are not perfected. "
1,3,36,0,0,"before the advent of antibiotics people used to die from injuries caused by accidents gunshot wounds etc. Since antibiotics were discovered many lives have been saved including thousands on the battlefields. Over use of antibiotics has however lead to an increase in superbugs, these are bacteria that are resistant to many different antibiotics or even all of them. "
1,3,35,0,3,"People in the past had high number of mortality from infection. This changed tremendously with the advancement of medicine and techniques. The more availability of medicine and the higher dosages sadly did lead to bacteria having resistance to antibiotics. Now, more people are susceptible to super bacteria and if nothing is done to combat that problem. We could all die in the near future from having super resistant bacteria."
3,3,63,0,0,Using too many antibiotics could create a superbug and antibiotics won't be helpful anymore. We will be immune to antibiotics by 2050
1,3,38,0,2,"Thanks to advances in medicine and science we're living longer today than we ever have before.  Some of the greatest threats to our survival hundreds of years ago are trivial in the modern era of medicine and antibiotics, but it's this same triumph of modern medicine that may take us back to suffering from those problems once again.

As we've gotten more and more accustomed to using antibiotics as our first line of defense against bacteria and infections, so too have those ailments gotten more accustomed to fighting back.  We are seeing an ever-growing number of cases in which bacteria is able to resist everything we throw at it, and this is leading to more and more people losing their lives to things that many assumed we had conquered.  Current projections for the impact of this issue are not looking optimistic, but if we act now and start taking precautions like avoiding the overuse of antibiotics when they aren't necessary we may be able to slow down this issue until we can make another breakthrough to keep the bacteria at bay."
1,3,39,0,0,"For much of recorded history people didn't die of things like cancer or heart disease.  Most people died from accidents or injuries incurred while doing things like hunting, working outside, or factory work; and the subsequent infections incurred from such accidents.  That all changed in the 1920's with the discovery of pencillin and the evolution of antibiotic drugs.  Now, infectious bacteria are becoming antibiotic resistant though.  Currently thousands of people die each year from infections that are immune to treatment by antibiotics.  That is expected to rise to millions of people by the year 2050.  "
1,3,41,0,1,"Alexander Fleming discovered anitibotics which helped reduced numerous deaths throughout the ages due to infection. Although anitibiotics have saved millions of lives, infections are spreading because the bacteria are becoming resistant due to evolution. It is imperative to use antibiotics only when necessary."
1,3,44,0,3,We could die from anti-bacterial resistance. If we don't reduce the problem nearly 10 million people may die by 2050.
1,3,42,0,2,"For most of history, we have focused on treating disease with anitbiotics.  But thru time, the antibiotics have evolved and our original treatments are no longer effective.  We need to stop immediately prescribing antibiotics and let our bodies fight it initially"
2,3,45,0,0,"The overuse of antibiotics has created a potential problem. Infections are a relatively new problem in human history. War and death by accident or injuries accounted for a greater number of deaths. 

People are now becoming immune/resistant to the antibiotics. 'Superbugs' is a potential rising epidemic with the possibility that millions who could die due to being immune to treatment."
2,3,51,0,1,"Thanks to  Alexander Fleming , the inventor of penicillin,  millions of people survive being infected by bacteria. Unfortunately, bacteria are a constantly adapting entity and inevitability will be penicillin resistant. Science predicts in 2050 700,000 people will die due to these mutated bacteria nicknamed 'super bugs.'  Currently, scientist and medical professions all utilizing special lights to kill these bacteria. People can help combat super bugs by only taking antibiotics when they are necessary."
2,3,57,0,1,"Even though only 700,000 people die from infections, that number is supposed to rise to 10,000,000 by 2050. The reason for the dramatic increase is bacteria's ability to evolve and become resistant to the current antibodies we have currently. These super bugs are resistant to the antibodies and render them useless. The is why it is important it use antibodies only when absolutely necessary.    "
2,3,60,0,3,"The creation of antibiotics helped reduce the amount of infection related deaths.  This came with a drawback, however.  Bacteria is becoming resistant to antibiotics, and at this rate 10 million will die by 2050 from antibiotic resistant bacteria.  "
3,3,74,0,1,"Over the years people have been able to survive illnesses due to the medicine penicillin but, due to disease-causing bacteria gaining resistance, that soon may not be enough anymore. By 2050, death from infectious diseases may jump to 10,000,000 (from the current 700,000) by 2050. The best way to slow down this resistance is by encouraging everyone to only resort to antibiotics when needed and to practice prevention."
1,3,43,0,4,"Throughout history, mankind has been susceptible to injury and death by misadventure, occupational hazards, and a host of infections and diseases. Many people never reached old age due to death from common sicknesses. Once Fleming's invention of antibiotics were introduced, illnesses and injuries that would have killed before were now able to be treated. However, as time has progressed, our bodies have adapted and so have the diseases. We are starting to see extensive evidence of drug-resistant bugs, which could be the result of overuse of antibiotics. If something does not change in the way we prescribe and use these drugs, it is estimated that by the year 2050, as many as 10 million people a year could die to drug-resistant illnesses. That's the equivalent of the population of New York City."
2,3,47,0,3,"In earlier times people would die from infections and injuries (that led to infections), but the rise of antibiotics drastically reduced the rate of death. Unfortunately, overuse of these antibiotics has caused bacteria to become resistant to their effects (super resistant) and if we don't control it then up to 10 million people could die in 2050 as a result of these resistant strains of bacteria which no longer respond to the typically given antibiotics."
2,3,46,0,4,"Antibiotics, also known as antibacterials, are medications that destroy or slow down the growth of bacteria. They include a range of powerful drugs and are used to treat diseases caused by bacteria. Antibiotics cannot treat viral infections, such as cold, flu."
2,3,48,0,2,"Thanks to achievements in medicine and antibiotics, people are living longer today than in the past.  The drawback to this, however, is that bacteria is becoming resistant to antibiotics, making them stronger, and creating a potential future threat that could take us back to the same historical level of potential danger.  Also, aging allows other things, such as cancer, to become more prevalent, since people are now able to live longer, making the chances of such things increase."
2,3,49,0,1,"After Alexander Flemings' invention of penicillin, infections went down. However, these bacteria are evolving and are learning how to resist these antibiotics. There are about 700,000 deaths from infection, but this number will jump to 10,000,000 by 2050 due to antibiotics being much less effective due to overuse. Florescent light treatment is an alternative to defeating these bacteria."
2,3,52,0,3,"Over the years since the 1900s, deaths due to infections has significantly decreased due to antibiotics. Unfortunately because of how often they are prescribed there are now ""super"" bacteria that are resistant to the antibiotics. If this problem isn't solved there will be about 10 million deaths by 2050."
2,3,50,0,4,"As humans we have always been susceptible to infection and disease.  The discovery of antibiotics has helped save millions from infections that would have killed us in the past.  Unfortunately, we began taking antibiotics for minor infections that our bodies were capable of healing on their own.  This practice has created new antibiotic resistant diseases. Creating new super strength antibiotics to combat these diseases is not enough, we also have to stop prescribing antibiotics for small infections and allow our bodies to once again fight them on their own.  If we do not act immediately it is estimated that by 2050 nearly 10 million people per year will die from drug resistant infections."
2,3,53,0,0,The passage says about the incident cancer caustion and how did happend that the 2050 should know everyone 
2,3,55,0,4,"Antibiotics have been used historically to treat infections and have worked well. However, more people are prescribing antibiotics for minor infections that the body can take care of by itself, which in turn, is creating more antibiotic resistant infections. If this trend continues, more and more infections are gonna be unable to be cured by regular antibiotics, and upwards of 10 million people a year are going to die from these super-infections that we've created."
2,3,56,0,2,"Before the invention of penicillin and other antibiotics that followed, a human's life expectancy was often much shorter. It was uncommon for people to die from things like heart disease because most people would not live that long. Instead, more common but today less deadly ailments could be far worse without a method of treatment. On top of that, germ theory was not well understood for much of human history, and that made preventive measures impossible.

Today people generally don't need to fear most bacterial infections. However, many bacteria have begun to adapt to our poisons. If we don't move on the issue of antibiotic-resistance, we may well find ourselves returning to a period of much shorter life expectancies"
2,3,58,0,0,All three stories presented about antibiotics of penicillan vaccine has saved many lives. The use of antibiotics infection resistant.
2,3,61,0,2,"Although antibiotics are helpful to treat some diseases, more antibiotic resistant diseases show up. These lead to more people losing their lives to diseases that many assumed we had conquered because the bacteria are becoming more resistant. So we should avoid overusing antibiotics until another breakthrough to keep the bacteria at bay."
3,3,62,0,3,antibiotics have dramatically reduced the rate of death from injuries and infections. overuse has caused humans to be resistant and up to 10 million could die in 2050 from resistant bacteria strains.
3,3,67,0,4,People have been prescribed antibiotics for minor infections. This has caused the body to be resistant to antibiotics.
3,3,66,0,1,"Although only 700,000 people have died from infection this number is expected to be at 50,000,000 by 2050. The invention of penisilin is accredited to keeping the number of infections down, but bacteria are becoming resistant to drugs. They are being known as super bugs. Scientists are looking at using fluorescent lights to fight bacteria instead of antibiotics. People can help fight these super bugs (or slow down their advance) by only taking antibiotics when absolutely necessary. "
3,3,70,0,2,"People today are living longer than ever.  That is because modern medicine has brought us so many advancements that allow us to fight of diseases that people a long time ago would have died from.  However, these very same advancements may begin to work against us.  As we continue to take these antibiotics these diseases grow stronger and stronger by developing an immunity to these antibiotics.  So it is best if you only take the antibiotics if absolutely so you don't develop an immunity to the antibiotics that may one day save your life."
3,3,73,0,4,"We use antibacterial drugs to fight bacterial diseases. There are many antibacterial diseases. We should teach people to only use the medications to fight the stronger diseases, because by the year 2050 there will be more than 10 million diseases that drugs will not be able to fight off."
3,3,75,0,2,"Antibiotics have been helpful to increasing the life expectancy of humans. However, the over use of antibiotics allows for bacteria to become resistant to these treatments. We need to review and understand the usage of antibiotics versus other preventative care measures before its too late and we have bacteria that has adapted to defend against antibiotics and reverting back to shorter life expediencies of humans."
3,3,69,0,3,"In the 1900s, antibiotics were first succesfully introduced to treat several different infections and illnesses. However, humans are becoming more tolerant of these drugs. It is predicted that by 2050, 10 million people will be immune to antibiotics."
3,3,71,0,0,"Antibiotics have been a blessing to mankind, but as time goes on, people are becoming more and more immune and resistant to  these vaccines, causing superbugs to potentially cause an epidemic. "
3,3,72,0,2,"The overuse of antibiotics is really causing more problems than expected, it's causing many deaths because the bacterias are getting immune to the over usage of antibiotics. An antibiotic drug may be effective at first few treatment, but they become ineffective as time progresses. 
This has been proven by scientists. "
3,3,76,0,0,It was not until recently that we determined antiobiotics are bad. 
3,3,77,0,3,"In the early 1900s people would often die due to bacterial infections. The rise of antibiotics reduced the rate of the death in the coming years. But, due to the rise antibiotic resistant bacteria, as many 10 million will die by 2050 from antibiotic resistant bacteria."
3,3,78,0,4,"Antibiotics can treat infections but not viruses, such as the flu or a cold. We have used antibiotics too frequently for infections that our bodies can heal on their own. As a result, new strains of antibiotic resistant bacteria are on the rise. By the year 2050 10 million people will die from antibiotic resistant infections."
3,3,79,0,1,"Fleming discovered antibiotics.  It's a tricky situation, though. With heavy antibiotic use, diseases mutate so as to not be affected by them."
4,3,80,0,0,The overuse of antibiotics  increases resistance to antibiotic that will make it so that antibiotics will not be effective by 2050
4,3,81,0,2,"Advancements in medicine has lead to human having a longer life expectancy, but those advancements are also starting to cause problems. Antibiotics are used to treat bacterial infections and can be used too often, which causes the bacteria to change and become resistant to the antibiotics. If the bacteria continue to become stronger against the medicine, it will be difficult to treat bacterial infections and will cause life spans to become shorter again. That is why it is important to only treat with antibiotics if it is absolutely necessary."
4,3,82,0,3,The rise of antibiotics have saved a lot of lives but now new drug resistant bacteria is going to reduce the effectiveness of the antibiotics we currently have. This could cause as many as 10 million deaths by the year 2050.
4,3,83,0,4,"Antibiotics usage is a problem. Usage of antibiotics can lead to antibiotic-resistant bacteria, and people are using too many antibiotics. By 2050, it's expected that 10 million strains of bacteria will be antibiotic resistant. We can help prevent this by learning not to use antibiotics to treat things they aren't effective against, such as viral infections, and to only use them against bacteria when it's actually necessary, as with a serious infection, and not in cases where the body can handle the infection without assistance."
4,3,85,0,3,"in the 1900's antibiotics were discovered and have since saved many lives, however they have also led to an increase in antibiotic resistant bacteria that may kill as many as 10 million people by 2050."
4,3,86,0,1,Super bugs are getting harder and harder to kill. Scientists are starting to use bright lights to try and kill them. It has also been told that people should only take antibiotics if they really need it.
4,3,84,0,1,"Fleming introduced antibiotics.  With more and more uses of antibiotics to fight bacteria, antibiotics become resistant and no longer work.  The deaths from so called super bugs that are resistant to antibiotics, is expected to greatly increase by 2050.  Scientists are starting t o use florescent light to kill these super bugs instead of antibiotics.  The best thing to do is to not use antibiotics unless it is absolutely necessary."
4,3,87,0,4,"Antibiotics have been overused in the past. Many people used antibiotics to ward off illnesses that their body could fight without the use of antibiotics. As antibiotics are used more and more, bacteria become resistant to the antibiotics. By the year 2050, ten million people will die as a result of antibiotic resistant infections."
4,3,89,0,0,Antibiotics when given in too many instances can create a resistance to further antibiotics such that the antibiotic no longer works and you could be in trouble to treat certain bugs and illnesses.
4,3,88,0,2,"Antibiotics help shape the world into a safer, longer living place. Despite the numerous benefits, everything has a downside to it. The overuse of antibiotics has created stronger diseases and hard to kill bacteria. Since the beginning of antibiotics, it was known to kill bacteria quite effectively, and that is at risk. In order to maintain a healthy life, we need to cut our usage on antibiotics and research alternative cures. "
4,3,91,0,2,"Overuse of antibiotics is, according to scientists, causing bacteria to evolve and become resistant."
4,3,90,0,3,To make sure that it has a lot of good info
4,3,92,0,4,"The overuse of antibiotics for bacterial infections has led to an increase in antibiotic-resistant infections. Because doctors prescribe antibiotics for things the body could potentially fight off on its own, the bacteria are becoming harder to fight. By the year 2050, more than 10 million people will die from antibiotic-resistant illnesses. "
4,3,93,0,0,"The invention of antibiotics was a major medical event, but due to overuse, super bugs are growing resistant to the antibiotics creating stronger infections that in 2050 we will have no cure for."
